duration;iterationCount;patternLength;textLength
1916;1425;636;2114
1833;579;166;818
9250;7688;3731;7934
11625;9537;777;9910
11209;8671;1800;6639
1458;1076;91;1066
8708;7823;1498;7170
6958;6756;2272;5269
8042;6574;511;7682
2792;2617;734;3632
1042;749;212;5601
4084;3133;977;2763
10583;8857;135;8871
14208;12074;4153;8970
6334;6390;2558;8699
11834;10157;1938;9143
8958;8112;3744;7611
2042;1882;757;4125
6083;5277;1630;6367
8709;8124;3207;9154
9500;7813;310;8832
917;748;123;1028
10500;9255;1692;7645
750;307;118;1016
7375;6692;1657;6764
8000;7572;2119;6520
4042;3001;311;6914
7958;5924;1721;6133
2625;1930;106;2291
11458;9751;1999;8467
2375;2168;552;2849
4875;4652;1628;4753
500;202;54;211
2000;1794;523;7922
6541;6308;2896;7560
4042;3418;210;4181
1958;1905;667;2737
3500;2803;23;2932
1584;1320;304;4434
2375;2222;616;1846
7000;6957;2463;6605
15667;14089;4819;9979
7125;7125;2656;7003
542;160;71;152
2375;1872;202;1630
5417;5380;1872;4207
7458;6747;2911;6660
13000;10666;2112;9676
1750;1733;684;2033
3375;392;120;345
2125;544;174;483
3708;808;94;1396
7667;2367;241;2547
11167;4409;1345;4451
9166;2728;1111;8073
11667;9954;4243;9749
5250;3450;532;7786
5292;3949;1777;7944
15041;12891;3922;8654
7625;5986;1079;5384
7167;6311;1002;6851
8208;8403;2904;6257
3334;3164;1087;2473
5750;5996;2640;5735
3583;3264;710;3404
4000;4115;1912;4560
10083;8145;2178;7004
6250;5636;1127;5835
5875;4949;2268;7239
17459;10608;3173;7580
708;232;112;243
5334;4002;1417;6735
11959;11154;2257;9397
6166;4237;830;3478
9542;7624;2137;5334
9083;8186;1505;9830
5208;4616;2057;4749
583;366;12;737
8584;7534;1216;9635
3458;2929;468;3777
9333;7824;2698;9573
2375;1884;228;2975
4792;4411;1163;7108
1583;1502;702;2141
7125;5950;2326;5771
4958;4568;1363;3245
14583;12506;2859;9529
4042;2730;475;4091
11375;9710;2437;7919
2416;1889;89;2121
3375;3495;1595;3649
667;383;101;482
8334;8045;2594;5334
10709;9513;1354;7980
834;624;105;957
584;400;148;762
5625;5213;1170;5931
9125;7784;2562;6633
792;583;223;1856
3791;3223;430;2763
4458;3702;509;3296
1167;861;99;1400
1125;483;147;880
1167;809;370;1113
750;559;156;528
584;425;110;311
9750;7738;206;9285
8292;7840;2332;6333
6500;6612;2635;7999
10500;8871;221;9326
4208;4299;1855;4302
11625;9572;3426;7886
4958;4795;1452;4972
2792;2164;78;5599
10875;8694;2029;6668
3917;3471;552;3079
8125;7207;3038;9570
2167;2343;1030;7733
4500;3567;94;3704
3125;2883;744;3485
2458;2343;847;1842
625;452;129;478
6667;5696;621;5457
8416;7188;786;8771
3833;3121;516;3530
6917;6993;3261;8054
10041;8386;2571;8406
9167;7501;2093;6700
10208;4792;797;7287
7791;6643;546;9035
15750;13401;4681;9921
1083;887;249;836
2625;2338;769;6217
583;339;114;274
2917;2995;1380;4182
1792;1533;201;1512
7500;6317;772;5969
5375;5447;2348;9319
1042;868;112;2448
7083;6719;1758;8418
10375;7420;1096;6866
14584;13375;4154;9106
2458;2362;733;1834
3791;3574;689;5760
8083;7143;1140;7428
5792;6131;2211;4901
3375;3046;440;8804
2792;2440;625;2248
1791;1507;169;2149
750;682;261;562
3542;3413;924;9042
1708;1327;46;3708
11667;10106;2974;8691
4125;3190;957;2564
1000;940;268;762
2875;2697;588;2132
187041;12788;4765;9961
14709;4999;880;6017
7000;7008;2909;7164
1500;1245;394;1663
959;803;241;701
8542;7770;1162;6727
3875;3437;1565;5280
2917;2428;123;5740
1250;976;187;3211
3000;2581;261;2657
1250;1367;577;1923
5375;4873;957;6649
3292;3102;868;3130
36375;9695;3117;8127
1667;1229;314;1876
2125;1980;836;2367
3500;3066;671;2888
542;229;64;842
2083;1818;440;6459
11334;9600;2491;9089
6125;4830;1169;3852
10083;8552;745;9041
7041;5606;2221;5368
7584;7317;2258;4991
2333;1924;196;1812
9125;8146;2995;8196
1792;1685;456;8004
6584;5236;1790;7762
12500;12121;3264;9994
8125;6535;154;6221
708;499;39;928
8500;7369;728;8703
4542;3413;1093;4107
3625;3153;729;2369
9542;7832;1648;7908
6666;5341;162;5094
13875;7545;3322;9878
2334;2017;513;6134
541;368;164;972
3917;2542;845;6040
5750;5911;2386;6843
1458;1227;352;1084
2250;1900;246;5115
9958;9478;3934;9208
8125;7544;1872;5679
2667;2829;1346;9445
8500;8112;3805;7889
1041;1105;494;1253
11000;9573;2610;8753
9917;8878;3166;6769
1292;1324;436;1084
